日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg
2017/03/03,沙鹿,PM2.5,22,25,24,28,31,31,28,28,29,29,28,24,21,18,15,18,19,17,18,19,20,24,26,26,24
2017/03/04,沙鹿,PM2.5,29,31,23,17,24,28,28,25,24,25,25,28,26,23,24,29,34,34,38,43,50,55,55,63,33
2017/03/05,沙鹿,PM2.5,68,61,65,68,59,49,46,52,50,48,50,52,55,49,29,20,34,49,52,54,65,63,50,34,51
2017/03/06,沙鹿,PM2.5,27,27,22,17,6,1,1,1,7,10,15,18,16,15,16,17,17,18,26,31,30,35,44,56,20
2017/03/07,沙鹿,PM2.5,60,59,56,52,42,31,24,17,15,16,19,20,17,14,12,11,12,13,16,15,20,26,22,21,25
2017/03/08,沙鹿,PM2.5,27,27,28,26,23,28,24,23,29,28,28,32,32,30,28,26,23,20,19,15,14,17,19,16,24
2017/03/09,沙鹿,PM2.5,15,19,20,17,16,15,17,20,21,23,-2#,11,9,13,26,28,30,34,34,36,41,47,52,56,26
2017/03/10,沙鹿,PM2.5,60,60,62,69,76,77,67,55,53,62,68,73,70,72,68,46,31,25,18,11,4,4,14,19,49
2017/03/11,沙鹿,PM2.5,15,18,22,23,19,11,10,10,7,7,10,13,10,10,13,12,11,10,8,12,16,21,26,26,14
2017/03/12,沙鹿,PM2.5,25,27,29,30,28,27,30,35,40,42,41,38,30,30,39,44,48,53,50,52,57,58,56,51,40
2017/03/13,沙鹿,PM2.5,52,66,70,63,52,38,32,31,28,24,21,22,22,23,31,41,39,30,27,27,36,40,28,24,36
2017/03/14,沙鹿,PM2.5,13,3,7,6,4,6,3,3,5,6,6,9,11,14,13,16,20,22,25,28,23,14,12,12,12
2017/03/15,沙鹿,PM2.5,13,12,10,10,7,9,12,11,11,8,9,10,11,13,14,-2#,,,,,18,11,10,12,11
2017/03/16,沙鹿,PM2.5,18,16,13,18,18,12,6,4,9,13,12,11,9,13,16,17,15,5,6,12,16,18,19,19,13
2017/03/17,沙鹿,PM2.5,19,16,16,20,21,19,19,21,19,15,16,19,18,18,19,18,16,20,24,27,25,28,35,38,21
2017/03/18,沙鹿,PM2.5,43,43,38,34,38,38,38,37,35,36,36,30,20,23,34,41,44,42,39,45,52,58,55,53,40
2017/03/19,沙鹿,PM2.5,57,56,54,52,51,45,37,37,33,21,12,15,23,27,25,18,21,23,20,20,21,24,28,31,31
2017/03/20,沙鹿,PM2.5,35,43,39,37,37,17,7,11,15,21,23,28,31,29,33,37,32,30,28,20,14,13,16,19,26
2017/03/21,沙鹿,PM2.5,24,28,28,23,27,36,38,36,38,41,38,36,32,31,32,28,23,21,18,14,13,10,10,13,27
2017/03/22,沙鹿,PM2.5,14,10,12,16,21,23,17,17,17,17,37,45,27,27,34,33,38,36,28,27,28,25,12,5,24
2017/03/23,沙鹿,PM2.5,4,11,17,15,14,10,7,7,7,9,8,-2#,18,24,28,23,16,15,20,25,26,25,24,23,16
