日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,sum,avg
2017/03/01,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/02,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/03,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/04,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/05,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/06,沙鹿,RAINFALL,0,1.4,0,1.2,1.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0.2
2017/03/07,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.6,0,0.2,0.2,0,0,0,1.4,0.1
2017/03/08,沙鹿,RAINFALL,0.2,0,0,0,0,0.6,0,0,0,0.4,0.4,1.8,0.6,1,0,0,0,0,0,0,0,0,0,0,5.0,0.2
2017/03/09,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/10,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/11,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/12,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/13,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/14,沙鹿,RAINFALL,0,0,0,0.8,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.1
2017/03/15,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0.0,0.0
2017/03/16,沙鹿,RAINFALL,0,0,0,0,0.2,4,2.4,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,7.8,0.3
2017/03/17,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/18,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/19,沙鹿,RAINFALL,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0
2017/03/20,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/21,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/22,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/23,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/24,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/25,沙鹿,RAINFALL,0,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.1
2017/03/26,沙鹿,RAINFALL,0.2,0.8,0.4,4,1.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0.3
2017/03/27,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/28,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/29,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/30,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0#,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/03/31,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1.2,0.4,0,0,0.6,8.6,0.4
2017/04/01,沙鹿,RAINFALL,1.2,0.8,0.8,0.8,1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.2
2017/04/02,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/04/03,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/04/04,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/04/05,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/04/06,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2017/04/07,沙鹿,RAINFALL,0,0,0,0,0,0,0,0,2,2.2,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0.2
