發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
107,03,31,11,41,2,01大同區,大同區庫倫街2號,0,1,2,C03,2,29,4,8,50,14,09
107,03,31,13,41,2,01大同區,大同區南京西路與承德路2段口,0,3,1,C03,2,46,2,8,50,14,09
107,03,31,13,41,2,01大同區,大同區南京西路與承德路2段口,0,3,2,C03,2,42,2,8,50,14,09
107,03,31,13,41,2,01大同區,大同區南京西路與承德路2段口,0,3,3,H02,2,48,2,8,50,14,09
107,01,22,18,30,2,01大同區,大同區鄭州路59號,0,2,2,C03,2,18,2,7,40,14,09
107,01,22,18,30,2,01大同區,大同區鄭州路59號,0,2,1,C03,1,43,2,7,40,14,09
107,01,22,18,30,2,01大同區,大同區鄭州路59號,0,2,3,B02,1,51,3,7,40,14,09
107,02,05,10,10,2,01大同區,大同區承德路3段277號,0,2,1,C03,2,21,2,6,0,14,09
107,02,05,10,10,2,01大同區,大同區承德路3段277號,0,2,2,C04,2,51,2,6,0,14,09
107,02,05,10,10,2,01大同區,大同區承德路3段277號,0,2,3,B12,1,41,3,6,0,14,09
107,02,06,08,30,2,01大同區,大同區重慶北路3段334巷,0,1,1,C03,1,30,2,7,30,14,09
107,02,06,08,30,2,01大同區,大同區重慶北路3段334巷,0,1,2,F01,2,62,3,7,30,14,09
107,01,10,12,50,2,01大同區,大同區長安西路338號,0,1,1,B12,1,31,3,8,50,14,09
107,01,10,12,50,2,01大同區,大同區長安西路338號,0,1,2,C03,2,29,2,8,50,14,09
107,01,14,18,45,2,01大同區,大同區承德路3段171號,0,2,1,B02,1,34,3,8,50,14,09
107,01,14,18,45,2,01大同區,大同區承德路3段171號,0,2,2,C03,2,43,2,8,50,14,09
107,01,14,18,45,2,01大同區,大同區承德路3段171號,0,2,3,H02,2,36,2,8,50,14,09
107,01,15,19,55,2,01大同區,大同區延平北路4段235巷與延平北路4段口,0,1,1,B02,1,26,3,8,30,3,01
107,01,15,19,55,2,01大同區,大同區延平北路4段235巷與延平北路4段口,0,1,2,C03,2,59,2,8,30,3,01
107,01,16,21,30,2,01大同區,大同區延平北路2段與民生西路口,0,1,1,B03,1,27,3,8,50,4,01
107,01,16,21,30,2,01大同區,大同區延平北路2段與民生西路口,0,1,2,C03,1,22,2,8,50,4,01
107,01,16,21,30,2,01大同區,大同區延平北路2段與民生西路口,0,1,3,H02,2,27,3,8,50,4,01
107,01,29,08,30,2,01大同區,大同區承德路2段與平陽街口,0,1,1,B03,1,36,3,6,50,4,01
107,01,29,08,30,2,01大同區,大同區承德路2段與平陽街口,0,1,2,C03,1,20,2,6,50,4,01
107,02,03,04,50,2,01大同區,大同區民生西路大稻埕碼頭公園,0,2,1,B03,1,26,2,6,50,15,22
107,02,03,04,50,2,01大同區,大同區民生西路大稻埕碼頭公園,0,2,2,H02,2,23,2,6,50,15,22
107,07,09,15,40,2,01大同區,大同區承德路3段150號,0,1,1,B01,1,68,3,8,50,14,09
107,07,09,15,40,2,01大同區,大同區承德路3段150號,0,1,2,C03,1,22,2,8,50,14,09
107,07,22,10,52,2,01大同區,大同區重慶北路3段與民權西路口,0,2,1,B02,1,50,3,8,50,4,01
107,07,22,10,52,2,01大同區,大同區重慶北路3段與民權西路口,0,2,3,H02,2,28,2,8,50,4,01
107,07,22,10,52,2,01大同區,大同區重慶北路3段與民權西路口,0,2,2,C03,2,27,2,8,50,4,01
107,07,27,11,30,2,01大同區,大同區市民大道1段與承德路1段口,0,1,1,A05,1,45,3,8,40,4,04
107,07,27,11,30,2,01大同區,大同區市民大道1段與承德路1段口,0,1,2,C03,1,49,2,8,40,4,04
107,08,13,19,27,2,01大同區,大同區延平北路4段與敦煌路口,0,1,1,B12,2,24,3,8,50,4,01
107,08,13,19,27,2,01大同區,大同區延平北路4段與敦煌路口,0,1,2,C03,1,19,2,8,50,4,01
