"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1405","新北市林口行政園區","42","16","林口區","20180719111832","25.070158","121.363632","忠孝二路55號","Linkou Dist.","New TaipeiCity Linkou Administrative Park","No.55, Zhongxiao 2nd Rd., Linkou Dist.","26","1"
"1406","工建樟樹一路口","36","14","汐止區","20180719111844","25.063062","121.641033","工建路50 號(對面路側)","Xizhi Dist.","Gongjian & Zhangshu 1st Intersection","No.50, Gongjian Rd., Xizhi Dist.","22","1"
"1407","中和青年社會住宅","32","14","中和區","20180719111830","24.991135","121.519329","景德街7號","Zhonghe Dist.","Zhonghe Youth Rental House","No.7, Ln. 127, Xiufeng St., Zhonghe Dist.","18","1"
"1408","蘆洲李宅古蹟","30","8","蘆洲區","20180719111840","25.084959","121.466551","中正路185巷68弄9號(對面人行道)","Luzhou Dist.","Luzhou Lee Family Historic Estate","No.9, Aly. 68, Ln. 185, Zhongzheng Rd., Luzhou Dist.","22","1"
"1409","捷運府中站(2號出口)","38","6","板橋區","20180719111816","25.009537","121.460148","府中路5號(後方人行道)","Banqiao Dist.","MRT Fuzhong Sta.(Exit.2)","No.5, Fuzhong Rd., Banqiao Dist.","32","1"
"1410","新莊勞工中心","32","25","新莊區","20180719111819","25.020332","121.433736","新樹路222號","Xinzhuang Dist.","Xinzhuang Labors Center","No.222, Xinshu Rd., Xinzhuang Dist.","7","1"
"1411","名利橋","32","7","永和區","20180719111842","25.007850","121.500986","仁愛路352巷96號(對面廣場)","Yonghe Dist.","Minli Bridge","No.96, Ln. 352, Ren’ai Rd., Yonghe Dist.","24","1"
"1412","捷運大坪林站(1號出口)","28","13","新店區","20180719111834","24.982755","121.541249","北新路三段129號(右側人行道)","Xindian Dist.","MRT DaPingLin Station(Exit. 1)","No.129, Sec. 3, Beixin Rd., Xindian Dist.","14","1"
"1413","福和國中停車場","48","13","永和區","20180719111822","25.005011","121.522665","永亨路99號(對向人行道)","Yonghe Dist.","Fuhe Junior High School Parking Lot","No.99, Yongheng Rd., Yonghe Dist.","35","1"
"1414","元隆公園","74","47","中和區","20180719111839","25.007307","121.485051","板南路496號(對面)","Zhonghe Dist.","Yuanlung Park","No.496, Bannan Rd., Zhonghe Dist.","27","1"
"1415","福美公園","40","0","新莊區","20180719111832","25.055033","121.461081","福美街/福美街62巷口(西北側人行道)","Xinzhuang Dist.","Fumei Park","Fumei St./Ln. 62, Fumei St., Xinzhuang Dist.","40","1"
"1416","輔仁大學附設醫院","40","25","新莊區","20180719111841","25.039272","121.431004","三泰路66號(對面人行道)","Xinzhuang Dist.","Fu Jen Catholic University Hospital","No.66, Santai Rd., Xinzhuang Dist.","15","1"
"1417","民視數位媒體總部","40","12","林口區","20180719111838","25.079876","121.379259","信義路99號(前廣場)","Linkou Dist.","FTV Digital Media Headquarter","No.99, Xinyi Rd., Linkou Dist.","28","1"
"1418","五股郵局","32","10","五股區","20180719111819","25.101774","121.451127","凌雲路一段80巷9號(對面人行道)","Wugu Dist.","Wu Gu Post Office","No.9, Ln. 80, Sec. 1, Lingyun Rd., Wugu Dist.","21","1"
"1419","新市一路一段99巷口","46","28","淡水區","20180719111819","25.187429","121.431016","新市一路一段99巷21號","Tamsui Dist.","Ln. 99, Sec. 1, Xinshi 1st Rd.","No.21, Ln. 99, Sec. 1, Xinshi 1st Rd., Tamsui Dist.","17","1"
"1420","國泰街111巷口","34","10","板橋區","20180719111839","25.006321","121.465773","國泰街111巷1號(對面)","Banqiao Dist.","Ln. 111, Guotai St.","No.1, Ln. 111, Guotai St., Banqiao Dist.","24","1"
"1421","湳雅觀光夜市(津渡橋)","40","7","板橋區","20180719111842","25.007585","121.452440","南雅西路一段152號(對面)","Banqiao Dist.","Nan Ya Tourist Night Market(Jin Du Bridge)","No.152, Sec. 1, Nanya W. Rd., Banqiao Dist.","31","1"
"1422","學成公園","34","11","土城區","20180719111821","24.988246","121.451187","學成路/學成路76巷口","Tucheng Dist.","Xuecheng Park","Xuecheng Rd./Ln. 76, Xuecheng Rd., Tucheng Dist.","23","1"
"1423","鳳祥公園","30","6","鶯歌區","20180719111827","24.962819","121.330254","鶯桃路413巷65弄4號(對面)","Yingge Dist.","Fengxiang Park","No.4, Aly. 65, Ln. 413, Yingtao Rd., Yingge Dist.","24","1"
"1424","光明市場","34","7","三重區","20180719111843","25.057335","121.491809","光明路67-1號(對面)","Sanchong Dist.","Guangming Market","No.67-1, Guangming Rd., Sanchong Dist.","26","1"
"1425","中興路二段100巷口","30","10","新店區","20180719111825","24.971355","121.547496","五峰路63巷/中興路二段100巷口(天橋旁)","Xindian Dist.","Ln. 100, Sec. 2, Zhongxing Rd.","Ln. 63, Wufeng Rd./Ln. 100, Sec. 2, Zhongxing Rd., Xindian Dist.","20","1"
"1426","福和橋","36","10","永和區","20180719111832","25.004536","121.527850","環河東路三段90號前","Yonghe Dist.","Fuhe Bridge","No.90, Sec. 3, Huanhe W. Rd., Yonghe Dist.","26","1"
"1427","土城國中","32","10","土城區","20180719111827","24.962443","121.430347","永寧路18號(對面)","Tucheng Dist.","Tucheng Junior High School","No.18, Yongning Rd., Tucheng Dist.","22","1"
"1428","安光公園","34","15","新店區","20180719111822","24.964233","121.514462","安民街安民街3巷15號(對面公園)","Xindian Dist.","Anguang Park","No.15, Ln. 3, Anmin St., Xindian Dist.","19","1"
"1429","崇德國小","40","18","汐止區","20180719111825","25.069378","121.669788","茄苳路183號(對面)","Xizhi Dist.","Chongde Elementary School","No.183, Jiadong Rd, Xizhi Dist.","21","1"
"1430","中華中央路一段242巷口","38","0","土城區","20180719111820","24.985510","121.443450","中華路一段85號(前)","Tucheng Dist.","Zhonghua & Ln. 242, Sec. 1, Zhongyang Intersection","No.85, Sec. 1, Zhonghua Rd., Tucheng Dist.","38","1"
"1431","公五公園","44","6","五股區","20180719111827","25.086580","121.444520","芳州五路/芳州二路口(東北側)","Wugu Dist.","Wugu Gongwu Park","Fangzhou 5th Rd./Fangzhou 2nd Rd., Wugu Dist.","38","1"
"1432","碧潭西岸","40","17","新店區","20180719111839","24.956562","121.534795","碧潭路2號(旁)","Xindian Dist.","Bitan West Coast","No.2, Bitan Rd., Xindian Dist.","23","1"
