日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/03/29,南投,PM2.5,63,52,48,49,46,39,35,38,43,44,39,-9#,41,36,30,33,41,45,44,41,38,41,45,43
2017/03/30,南投,PM2.5,38,38,38,37,37,35,38,40,37,36,40,47,48,50,50,44,35,29,42,55,60,67,60,48
2017/03/31,南投,PM2.5,45,44,46,43,38,43,44,47,47,38,34,29,25,27,34,32,28,23,14,12,14,11,5,5
2017/04/01,南投,PM2.5,3,1,5,5,4,7,7,7,16,18,11,16,25,25,36,50,47,42,49,53,48,50,51,46
2017/04/02,南投,PM2.5,43,45,44,40,36,37,33,30,35,29,24,25,24,26,29,35,41,45,59,73,70,64,63,63
2017/04/03,南投,PM2.5,59,54,53,52,47,41,42,43,39,35,34,35,43,48,47,41,36,35,35,37,41,46,44,40
2017/04/04,南投,PM2.5,40,41,40,42,44,41,43,46,44,38,28,28,30,28,32,30,25,27,29,27,25,23,27,28
2017/04/05,南投,PM2.5,28,30,29,32,30,26,27,29,29,25,25,28,26,29,34,-9#,35,35,36,38,39,40,44,45
2017/04/06,南投,PM2.5,40,36,34,37,41,39,35,36,40,39,39,42,45,52,57,56,52,53,55,57,61,61,60,61
2017/04/07,南投,PM2.5,57,54,55,-9#,58,59,61,60,58,51,41,38,43,38,35,39,40,40,33,23,24,24,26,27
2017/04/08,南投,PM2.5,28,30,29,29,29,28,33,34,27,29,33,26,24,28,30,30,32,29,24,15,14,18,17,15
2017/04/09,南投,PM2.5,16,15,11,13,14,13,17,22,26,30,33,40,45,42,39,34,25,24,21,19,15,15,18,20
2017/04/10,南投,PM2.5,21,20,20,19,22,20,18,21,20,17,13,11,15,10,6,10,9,9,12,14,16,13,8,9
2017/04/11,南投,PM2.5,11,11,11,13,11,9,12,14,13,12,12,14,14,13,14,16,16,14,20,23,19,18,16,14
2017/04/12,南投,PM2.5,15,20,24,26,27,25,19,15,13,10,18,24,22,22,25,24,27,27,22,21,27,34,33,32
